source,smiles
D00594_protomer_1,CCOc1cc(CC(=O)NC(CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)[O-]
D00594_protomer_2,CCOc1cc(CC(=O)NC(CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O
D08266_protomer_1,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO
D08161_protomer_1,C[NH+]1CCc2c(c3ccccc3n2Cc2ccccc2)C1
D08161_protomer_2,CN1CCc2c(c3ccccc3n2Cc2ccccc2)C1
D08157_protomer_1,C[NH+]1C2CCC(C)(C)C1CC(OC(=O)C(O)(c1cccs1)c1cccs1)C2
D08157_protomer_2,CN1C2CCC(C)(C)C1CC(OC(=O)C(O)(c1cccs1)c1cccs1)C2
D01177_protomer_1,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CC[NH+](CCC(=O)OC)CC1
D01177_protomer_2,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1
D11693_protomer_2,COc1cc(C(C)C)c(Oc2cnc(N)nc2N)cc1S([NH-])(=O)=O
D11693_protomer_1,COc1cc(C(C)C)c(Oc2cnc(N)nc2N)cc1S(N)(=O)=O
D07088_protomer_1,CCOc1ccc(C=C2[NH2+]CCc3cc(OCC)c(OCC)cc32)cc1OCC
D07088_protomer_2,CCOc1ccc(C=C2NCCc3cc(OCC)c(OCC)cc32)cc1OCC
D02593_protomer_1,COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[n-]2)c1OC
D02593_protomer_2,COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[nH]2)c1OC
D07298_protomer_1,CCC1(c2ccccc2)C(=O)[N-]C(=O)[N-]C1=O
D07298_protomer_2,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
D08143_protomer_1,[NH3+]C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(Cl)CCC12)c1ccccc1
D08143_protomer_2,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CCC12)c1ccccc1
D00400_protomer_3,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C
D00400_protomer_2,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1)C(C(=O)[O-])C(C)C
D00400_protomer_1,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)[O-])C(C)C
D10195_protomer_1,CCOc1ccc(Cc2cc(C3SC(CO)C(O)C(O)C3O)c(OC)cc2C)cc1
C16823_protomer_1,CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1
D07563_protomer_2,C=CC[NH+]1CCCC1CNC(=O)c1cc2[n-]nnc2cc1OC
D07563_protomer_3,C=CCN1CCCC1CNC(=O)c1cc2[nH]nnc2cc1OC
D07563_protomer_1,C=CC[NH+]1CCCC1CNC(=O)c1cc2[nH]nnc2cc1OC
D00808_protomer_1,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)[O-])c5cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c45)ccc3C)c2)c1
D08301_protomer_2,COc1ccc2c(c1)OC(C)(C)C(c1ccccc1)C2c1ccc(OCCN2CCCC2)cc1
D08301_protomer_1,COc1ccc2c(c1)OC(C)(C)C(c1ccccc1)C2c1ccc(OCC[NH+]2CCCC2)cc1
D07184_protomer_2,CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1
D07184_protomer_1,CC(C)(C)[NH2+]CC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1
D07800_protomer_1,CCCCC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
D07867_protomer_1,O=C(OC1CC2CC3CC(C1)[NH+]2CC3=O)c1c[nH]c2ccccc12
D07867_protomer_2,O=C(OC1CC2CC3CC(C1)N2CC3=O)c1c[nH]c2ccccc12
D00928_protomer_1,CCOc1ccc2ccccc2c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-]
D02608_protomer_1,C[NH+]1CC[NH+](CCCN2c3ccccc3Sc3ccccc32)CC1
D02608_protomer_2,CN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1
D06056_protomer_1,CCCCC[NH+]=C(N)NN=Cc1c[nH]c2ccc(OC)cc12
D06056_protomer_2,CCCCCN=C(N)NN=Cc1c[nH]c2ccc(OC)cc12
D01111_protomer_2,CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1
D01111_protomer_1,CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)[O-])CC1
D07704_protomer_1,C[NH+](C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
D07704_protomer_2,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
D02317_protomer_1,[NH3+]C1CCN(c2nc3c(cc2F)c(=O)c(C(=O)[O-])cn3-c2ccc(F)cc2F)C1
D02317_protomer_2,NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1
D01112_protomer_2,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
D01112_protomer_1,COc1ccc(-c2ccc3cc(C(=O)[O-])ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
D00986_protomer_1,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C
D08214_protomer_1,Cc1ncc([N+](=O)[O-])n1CCOC(=O)c1ccccc1
D03276_protomer_2,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21
D03276_protomer_1,CC[NH+](CC)C(C)CN1c2ccccc2Sc2ccccc21
D02348_protomer_2,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O
D03716_protomer_1,CCC(=O)[N-]S(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1
D03716_protomer_2,CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1
D02111_protomer_3,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C
D02111_protomer_2,CC(C)=CC[NH+]1CCC2(C)c3cc([O-])ccc3CC1C2C
D03218_protomer_2,CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1
D03218_protomer_1,CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[n-]c2c1
D07095_protomer_1,O=C(C[NH+]1CC[NH+](Cc2ccc3c(c2)OCO3)CC1)N1c2ccccc2Sc2ccccc21
D07095_protomer_2,O=C(CN1CCN(Cc2ccc3c(c2)OCO3)CC1)N1c2ccccc2Sc2ccccc21
D02889_protomer_1,CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)C([NH+]=CN3CCCCCC3)C2SC1(C)C
D02889_protomer_2,CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)C(N=CN3CCCCCC3)C2SC1(C)C
D00828_protomer_1,CCC1=C(CC2[NH2+]CCc3cc(OC)c(OC)cc32)CC2c3cc(OC)c(OC)cc3CC[NH+]2C1
D00828_protomer_2,CCC1=C(CC2NCCc3cc(OC)c(OC)cc32)CC2c3cc(OC)c(OC)cc3CCN2C1
D00621_protomer_2,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O
D00621_protomer_1,CCOC(=O)C(CCc1ccccc1)[NH2+]C(C)C(=O)N1CCCC1C(=O)[O-]
D07761_protomer_1,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1
